연번,회사명,사업유형,사업자등록번호,공장 주소,업종명,생산품
154,(주)마농탄토,제조업,1228628938,"인천광역시 부평구 부평대로 283, B동 3층 305 (청천동, 부평 우림라이온스밸리)",간판 및 광고물 제조업 외 3 종,"간판광고물, 실물모형, 조형물, 공공시설물 등"
155,(주)마루합금,제조업,1228620052,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동동 5층 517호",정형외과용 및 신체보정용 기기 제조업,치과용 합금
156,(주)마미유통,제조업,1228179771,"인천광역시 부평구 평천로255번길 13, 4층 404호  (청천동) 4층 404호",그 외 기타 의복액세서리 제조업,면장갑
157,(주)마스터코리아,제조업,5418601085,"인천광역시 부평구 주부토로 236,(갈산동) 제디동 5층 510호",그 외 기타 일반목적용 기계 제조업,스테이지
158,(주)마이데이즈,제조업,5528602008,인천광역시 부평구 부평북로236번길 19 (청천동),기타 직물제품 제조업,마스크
159,(주)마이데이즈,제조업,5528602008,"인천광역시 부평구 안남로369번길 30, 1층 (청천동)",기타 직물제품 제조업,마스크
160,(주)마이비클,제조업,8518801759,"인천광역시 부평구 무네미로448번길 56, 역사관 202호(구산동, 한국폴리텍대학(인천캠퍼스))",기기용 자동측정 및 제어장치 제조업,운전석 메모리 시트 제어기
161,(주)막셀,제조업,3728603376,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 5층 507호",기타 전기 변환장치 제조업,연료전지 MEA
162,(주)맥원,제조업,1228621463,"인천광역시 부평구 부평대로 283, (청천동, 부평 우림라이온스밸리) B동 6층 603호",전자감지장치 제조업,전자부품
163,(주)맥원,제조업,1228621463,"인천광역시 부평구 부평대로 283, B동 5층 509 (청천동, 부평 우림라이온스밸리) B동 5층 509호",전자감지장치 제조업,전자부품
164,(주)머치그로발,제조업,6998102471,"인천광역시 부평구 안남로 423, 215호 (청천동)",일반용 전기 조명장치 제조업,LED조명
165,(주)멀티씨에스,제조업,1228175154,인천광역시 부평구 경인로 918 (부평동),화장품 제조업,머드팩
166,(주)메가젠임플란트,제조업,5048143999,"인천광역시 부평구 부평대로 293, 부평테크시티 7층 709호 (청천동)",치과용 기기 제조업,치과용 유니트 체어
167,(주)메달뱅크,제조업,2498702832,"인천광역시 부평구 주부토로 236, C동 2107호(갈산동, 인천테크노밸리 U1센터) C동 2107호",자수제품 및 자수용재료 제조업,스포츠 용품 관련 기계자수
168,(주)메디노바,제조업,1538801446,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 2층 203-B호",그 외 기타 의료용 기기 제조업,"의료기기, 소모품"
169,(주)메센무역,제조업,1228608631,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 4층 406호",자동차용 금속 압형제품 제조업 외 1 종,금속가공제품
170,(주)메쎈에이치앤티,제조업,1228608631,"인천광역시 부평구 부평대로 301 7층 711호 (청천동, 남광센트렉스) 7층 711호",가정용 비전기식 조리 및 난방 기구 제조업,온도센서기계
171,(주)메이튼,제조업,2998800914,인천광역시 부평구 안남로 404 (청천동),자동차 차체용 신품 부품 제조업,자동차 부품
172,(주)명성산업,제조업,1228125386,"인천광역시 부평구 청천2동 175-5,6번지",그 외 기타 가구 제조업 외 3 종,"플라스틱가구부품,모조장식품"
173,(주)명성전기,제조업,2658700665,"인천광역시 부평구 부평대로 337, 10층 1041호(청천동, 부평 제이타워3차 지식산업센터) 10층 1041호",배전반 및 전기 자동제어반 제조업,배전반
174,(주)명신티엠,제조업,1228613721,인천광역시 부평구 청천마차로 106 (청천동),기타 구조용 금속제품 제조업,"Power base, Rack jack"
175,(주)명지실리콘,제조업,1228634876,"인천광역시 부평구 새벌로 44, 416 (청천동)",고무패킹류 제조업 외 1 종,실리콘고무제품
176,(주)명진에프앤엘,제조업,1228611456,"인천광역시 부평구 부평대로 301 3층 324호 (청천동, 남광센트렉스) 3층 324호",모직물 직조업 외 6 종,모직물
177,(주)모닝상사,제조업,8808101059,인천광역시 부평구 백범로577번길 15-12 (십정동),"근무복, 작업복 및 유사의복 제조업 외 3 종","남녀 작업복, 근무복, 외투"
178,(주)모던테크,제조업,1308615905,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 8층 806호 외 2필지",그 외 기타 의료용 기기 제조업 외 2 종,"유선통신기기, 물리치료용 기기"
179,(주)모베이스부평공장,제조업,1228529323,인천광역시 부평구 새벌로 39 (청천동) 외 1필지,그 외 기타 전자부품 제조업 외 2 종,휴대폰케이스
180,(주)모임미디어,제조업,4358602585,"인천광역시 부평구 주부토로 236, 씨(C)동 805호(갈산동, 인천테크노밸리 U1센터) 씨(C)동 805호 외 1필지",전시 및 광고용 조명장치 제조업,LED 전광판
181,(주)모텍,제조업,5508701392,"인천광역시 부평구 주부토로 236,(갈산동) 제씨동 19층 1916호",그 외 기타 일반목적용 기계 제조업 외 5 종,"기계밀봉부품(메카니 칼씰), 등명구, 고무패킹, 절연선 케이블 외"
182,(주)미도금속,제조업,1228149879,인천광역시 부평구 부평북로 3 (청천동),"동 압연, 압출 및 연신제품 제조업 외 1 종","동관, 방열기, 분배기"
183,(주)미라이테크,제조업,1378185182,"인천광역시 부평구 세월천로 209 (청천동, 미라이테크)",주형 및 금형 제조업,금형
184,(주)미라이테크,제조업,1378185182,"인천광역시 부평구 세월천로 209 (청천동, 미라이테크)",주형 및 금형 제조업,금형
185,(주)미라텍스,제조업,3488502324,"인천광역시 부평구 부평북로236번길 49, 301호, 302호 (청천동)","근무복, 작업복 및 유사의복 제조업 외 1 종",의류
186,(주)미래인,제조업,3188700445,"인천광역시 부평구 부평대로 337, 9층 929호(청천동, 부평 제이타워3차 지식산업센터) 9층 929호 외 1필지",디지털 적층 성형기계 제조업,3D 프린터
187,(주)미로,제조업,1378138447,"인천광역시 부평구 백범로577번길 20, 공장동 741호(십정동, 경인센타)",부직포 및 펠트 제조업,부직포를 이용한 생활용품
188,(주)미연다,제조업,3208600795,인천광역시 부평구 부평북로236번길 12 (청천동) 1동 2층,기타 직물제품 제조업,공산품 마스크
189,(주)미연다글로벌,제조업,6668702264,"인천광역시 부평구 부평북로236번길 19, 202호(청천동)",기타 직물제품 제조업,마스크
190,(주)미연다글로벌,제조업,6668702264,"인천광역시 부평구 안남로369번길 30, 1층 (청천동)",기타 직물제품 제조업,마스크
191,(주)믹스앤매치,제조업,8748602043,인천광역시 부평구 평천로73번길 14 (청천동),화장품 제조업,"화장품(네일, 펜슬)"
192,(주)민영,제조업,4771400492,"인천광역시 부평구 부평대로 337, 10층 1018호(청천동, 부평 제이타워3차 지식산업센터) 10층 1018호",배전반 및 전기 자동제어반 제조업 외 1 종,배전반 및 전기자동제어반 등
193,(주)바이오아,제조업,7988703065,"인천광역시 부평구 주부토로 236,(갈산동, 인천테크노밸리 U1센터) 제에이동 1층 165호",기타 비철금속 주조업,의료용 기기 등
194,(주)바이오에프티,제조업,4638603177,"인천광역시 부평구 새벌로 60, 4층(일부) (청천동)",화장품 제조업,화장품
195,(주)바이칼,제조업,1228545793,"인천광역시 부평구 부평대로 283, B동 6층 4호 (청천동, 부평 우림라이온스밸리)",화학 살균.살충제 및 농업용 약제 제조업 외 6 종,"천연살균제,기타특수목정용기계"
196,(주)반석하이테크,제조업,1328801003,"인천광역시 부평구 백범로578번길 65, 301호 (십정동)",도금업,"금속도금, 욕조자재, 건축물자재 등"
197,(주)베베데코,제조업,1958600559,인천광역시 부평구 평천로199번길 10 (청천동),커튼 및 유사제품 제조업 외 2 종,"커튼, 문패, 시계, 침구류"
198,"(주)벤치소프트 (BENCH SOFT CO., Ltd.)",제조업,1228639814,"인천광역시 부평구 주부토로 236,(갈산동) 제에이동 9층 에스907호",기타 전기 변환장치 제조업,이동형 멀티콘서트
199,(주)벨리즈코리아,제조업,7928802013,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동동 6층 648호",기타 가정용 전기기기 제조업,"헤어고데기, 드라이기 등"
200,(주)보드랩,제조업,1228644898,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 8층 803-C호 외 2필지",그 외 기타 전자부품 제조업 외 1 종,전자부품
201,(주)보성글로벌,제조업,3278100433,"인천광역시 부평구 부평대로 301 7층 703호 (청천동, 남광센트렉스) 7층 703호",그 외 기타 특수목적용 기계 제조업 외 1 종,자동화설비
202,(주)보성씨앤아이,제조업,2668700203,"인천광역시 부평구 부평대로313번길 84, 1층(일부)  (청천동)",금속 단조제품 제조업,알루미늄제 단조제품 
203,(주)보승일렉트릭,제조업,3038802507,인천광역시 부평구 항동로 3(부개동),일반용 전기 조명장치 제조업,LED 조명기구
204,(주)보아스,제조업,7728101082,인천광역시 부평구 새벌로 44 (청천동),그 외 기타 플라스틱 제품 제조업,손끼임 방지제픔
205,(주)부광정공,제조업,1228625120,인천광역시 부평구 항동로143번길 10-27 (일신동),비동력식 수공구 제조업 외 1 종,PUNCH 류
206,(주)부성엔지니어링,제조업,1228609891,인천광역시 부평구 부평대로329번길 29 (청천동),인쇄 및 제책용 기계 제조업,연포장제조설비
207,(주)부텍스,제조업,8708100960,인천광역시 부평구 새벌로 29 (청천동) 7층 710호,일반용 전기 조명장치 제조업,LED조명기구
208,(주)부활피앤피,제조업,3888702078,"인천광역시 부평구 부평대로 337, 4층 431호(청천동, 부평 제이타워3차 지식산업센터) 4층 431호",그 외 기타 플라스틱 제품 제조업,플라스틱 화분
209,(주)뷰티누리,제조업,1228183557,"인천광역시 부평구 부평대로 301 8층 811호 (청천동, 남광센트렉스) 8층 811호",그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,미용용품
210,(주)뷰티하이,제조업,2878700802,인천광역시 부평구 안남로402번길 11 (청천동),포장용 플라스틱 성형용기 제조업,화장품케이스
211,(주)뷰팅크,제조업,5138145405,인천광역시 부평구 부평북로236번길 49 (청천동),플라스틱 접착처리 제품 제조업 외 1 종,휴대폰케이스
212,(주)브이엠브이,제조업,3718502533,"인천광역시 부평구 주부토로 236,(갈산동, 인천테크노밸리 U1센터) 씨동 5층 504호","탭, 밸브 및 유사장치 제조업",밸브
213,(주)블루모션테크놀로지,제조업,8428700496,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 301호,302호",배전반 및 전기 자동제어반 제조업,"CNC컨트롤러,위치제어시스템"
214,(주)블루아이엔티,제조업,5698601517,"인천광역시 부평구 아트센터로44번길 3, 2층 (십정동)",기타 전기 변환장치 제조업,배터리 팩
215,(주)블루펜스,제조업,3098802840,"인천광역시 부평구 백범로577번길 20, 627~628호(십정동)",액체 여과기 제조업 외 1 종,"오수처리용산기장치, 공기살균기"
216,(주)비바,제조업,3448601432,"인천광역시 부평구 청중로 100, 2층 201호 (청천동)",기타 무선 통신장비 제조업,블랙박스
217,(주)비바,제조업,3448601432,"인천광역시 부평구 부평대로 293, 8층 801호(청천동, 부평테크시티) 8층 801호",기타 무선 통신장비 제조업 외 2 종,"CCTV, 영상감지장치, 기타무선통신장비"
218,(주)비바,제조업,3448601432,"인천광역시 부평구 청중로 100, 3층(청천동)",기타 무선 통신장비 제조업 외 4 종,"기타 무선통신 장비, LED 조명기기,원격 무선 검침기,  NDVR, AI CCTV CAMERA"
219,(주)비섹전자,제조업,1228171503,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 B2층 B229호 외 2필지",비디오 및 기타 영상기기 제조업,TFT LCD MODULE외
220,(주)비앤에스,제조업,1228601661,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 6층 604호",메모리용 전자집적회로 제조업 외 4 종,세단기용콘트롤러
221,(주)비앤지트레이딩,제조업,1408117884,"인천광역시 부평구 부평대로 301 4층 421호 (청천동, 남광센트렉스) 4층 421호 외 2필지",기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종,견과류 가공품
222,(주)비앤케이테크,제조업,4358801732,"인천광역시 부평구 일신로 71, 지하1층 (일신동)",주형 및 금형 제조업,금형
223,(주)비에스엔지니어링,제조업,1218633331,"인천광역시 부평구 새벌로 29, 8층 818호(청천동, 부평테크노타워) 8층 818호",기기용 자동측정 및 제어장치 제조업,보일러 온도조절기
